*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: CH3COOH
* Name: Acetic acid
* Edge: C 1s
* Alpha Formula: C2H4O2
* Data Source: Hitchcock
* Filename:  ai-0cckk.os
* Ref. Code: RI&88
* Write Date: 93/06/10
* Reference: J. El. Spec. 47 (88) 53.
* Source and Purity: N/A
* Acquisition Mode: EELS, 2 deg, 2500 eV CRE mode, 0.7 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 2    name1- 0aic.    name2- 0aic.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
   334.8400       32363.70       .6908955    
   334.9800       32734.70       .6992920    
   335.1200       33281.00       .7113413    
   335.2590       32664.50       .6992825    
   335.3990       32176.60       .6898770    
   335.5390       32590.10       .6991895    
   335.6790       32550.70       .6990934    
   335.8190       32553.20       .6998690    
   335.9590       32769.30       .7050977    
   336.0980       31561.90       .6806315    
   336.2380       32022.00       .6909474    
   336.3780       32004.80       .6913047    
   336.5180       31991.40       .6917359    
   336.6580       31725.30       .6868781    
   336.7980       32129.00       .6960555    
   336.9370       32510.10       .7047706    
   337.0770       31902.60       .6927350    
   337.2170       31351.60       .6818656    
   337.3570       31847.90       .6930172    
   337.4970       30681.50       .6691582    
   337.6370       31912.10       .6958041    
   337.7760       31825.00       .6946797    
   337.9160       31164.30       .6814381    
   338.0560       31330.50       .6856585    
   338.1960       31292.70       .6855661    
   338.3360       31898.80       .6991140    
   338.4760       31764.80       .6969952    
   338.6150       31314.00       .6881365    
   338.7550       31198.70       .6863946    
   338.8950       31469.60       .6928669    
   339.0350       30688.70       .6769538    
   339.1750       31021.60       .6847444    
   339.3150       31045.00       .6859493    
   339.4540       30797.10       .6813579    
   339.5940       30614.70       .6781634    
   339.7340       31514.60       .6981132    
   339.8740       30850.80       .6846189    
   340.0140       31114.80       .6909810    
   340.1540       29967.80       .6670782    
   340.2930       30974.50       .6893820    
   340.4330       30230.50       .6740990    
   340.5730       30790.50       .6868418    
   340.7130       30174.10       .6742737    
   340.8530       30258.90       .6767974    
   340.9930       30351.60       .6794894    
   341.1320       30721.60       .6881756    
   341.2720       29595.40       .6645326    
   341.4120       30066.80       .6754147    
   341.5520       30601.40       .6876906    
   341.6920       29856.60       .6722478    
   341.8320       29835.40       .6724775    
   341.9710       30751.00       .6930535    
   342.1110       29628.00       .6693450    
   342.2510       30289.30       .6844231    
   342.3910       30342.80       .6862918    
   342.5310       29578.90       .6703329    
   342.6710       29820.60       .6763002    
   342.8100       29771.40       .6759118    
   342.9500       29399.10       .6684636    
   343.0900       29053.90       .6615899    
   343.2300       29374.50       .6692913    
   343.3700       30184.60       .6877422    
   343.5100       29563.00       .6748019    
   343.6490       29264.20       .6689221    
   343.7890       29075.70       .6654588    
   343.9290       29594.70       .6775694    
   344.0690       29873.00       .6843899    
   344.2090       29482.50       .6764758    
   344.3490       29416.40       .6757066    
   344.4880       29726.50       .6832467    
   344.6280       29216.00       .6726519    
   344.7680       29411.30       .6776583    
   344.9080       29003.10       .6693036    
   345.0480       29067.30       .6714113    
   345.1880       30081.90       .6946263    
   345.3270       29247.40       .6767799    
   345.4670       28794.00       .6673847    
   345.6070       28917.80       .6708219    
   345.7470       28431.70       .6606736    
   345.8870       29209.50       .6786969    
