# XDI/1.0 Athena/0.9.24
# Element.edge:                  K
# Element.symbol:                C
# Column.1:                      energy eV
# Column.2:                      norm
# Column.3:                      nbkg
# Column.4:                      flat
# Column.5:                      fbkg
# Column.6:                      nder
# Column.7:                      nsec
# Athena.e0:                     286.1819
# Athena.eshift:                 0
# Athena.rbkg:                   1.0
# Athena.importance:             1
# Athena.standard:               None
# Athena.bkg_kweight:            2
# Athena.edge_step:              11035.0802344
# Athena.fixed_step:             no
# Athena.pre_edge_range:         -8.364 -1.499
# Athena.pre_edge_line:          4248.942429 - 7.2978 * E
# Athena.normalization_range:    21.451 37.864
# Athena.post_edge_polynomial:   61847.451050 - 170.004 * E + 0 * E^2 + 0 * E^3
# Athena.spline_range_energy:    0.000 38.795
# Athena.clamps:                 0 24
# Athena.spline_range_k:         0.000 3.191
# Athena.kweight:                2
# Athena.window:                 hanning
# Athena.phase_correction:       no
# Athena.k_range:                1.191 3.000
# Athena.dk:                     1
# Athena.r_range:                1 3
# Athena.dr:                     0.0
# Athena.window:                 hanning
# Athena.plot_multiplier:        1
# Athena.y_offset:               0
# ///
#------------------------
#   e         norm        flat        fbkg        nder        nsec
  295.41760       0.93139294        1.0675678      -0.53479850E-01   0.19393852E-02    1.3832909
  295.49180       0.93790956        1.0751785      -0.52336744E-01   0.11186770       0.76442294
  295.62370       0.95444887        1.0936626      -0.50304728E-01   0.15948695       0.30422086E-01
  295.75560       0.97998222        1.1211407      -0.48272712E-01   0.11989305      -0.27005287
  295.88750       0.98607666        1.1291800      -0.46240695E-01   0.88247005E-01  -0.66050700E-02
  296.01930        1.0032530        1.1482996      -0.44210220E-01   0.11815129      -0.17159840
  296.15120        1.0172332        1.1642246      -0.42178203E-01   0.42996506E-01  -0.30386598
  296.28310        1.0145954        1.1635316      -0.40146187E-01   0.37991447E-01   0.26812127E-01
  296.41500        1.0272553        1.1781363      -0.38114171E-01   0.50069546E-01   0.46545540
  296.54690        1.0278038        1.1806296      -0.36082155E-01   0.16077858       0.92212101
  296.67880        1.0696687        1.2244392      -0.34050138E-01   0.29332507      -0.20772562
  296.81070        1.1051829        1.2618983      -0.32018122E-01   0.10598056      -0.74783567
  296.94260        1.0976264        1.2562865      -0.29986106E-01   0.96046017E-01  -0.19931346
  297.07450        1.1305199        1.2911248      -0.27954090E-01   0.53401672E-01  -0.29743361
  297.20640        1.1117137        1.2742634      -0.25922073E-01   0.17583032E-01   0.29812377
  297.33830        1.1351583        1.2996528      -0.23890057E-01   0.13204672       0.26358964
  297.47020        1.1465476        1.3129869      -0.21858041E-01   0.87117980E-01  -0.18526281
  297.60210        1.1581400        1.3265241      -0.19826025E-01   0.83174392E-01  -0.24081431
  297.73400        1.1684890        1.3388179      -0.17794008E-01   0.23591165E-01  -0.42745745
  297.86590        1.1643633        1.3366370      -0.15761992E-01  -0.29588883E-01  -0.42142830
  297.99780        1.1606835        1.3349019      -0.13729976E-01  -0.87581620E-01  -0.46800770E-01
  298.12970        1.1412593        1.3174225      -0.11697960E-01  -0.41934926E-01   0.58099887
  298.26160        1.1496211        1.3277291      -0.96659433E-02   0.65685882E-01   0.33149894
  298.39350        1.1585873        1.3386400      -0.76339270E-02   0.45514495E-01  -0.50914393
  298.52540        1.1616278        1.3436254      -0.56019108E-02  -0.68626288E-01  -0.63026078
  298.65730        1.1404836        1.3244260      -0.35698945E-02  -0.12074830       0.20393624
  298.78920        1.1297744        1.3156615      -0.15378783E-02  -0.14827907E-01   0.12316129
  298.92110        1.1365720        1.3244040       0.49413799E-03  -0.88258351E-01  -0.44234150
  299.05300        1.1064918        1.2962686       0.25261542E-02  -0.13151759       0.29038875
  299.18490        1.1018777        1.2935992       0.45581705E-02  -0.11653799E-01   0.28248445
  299.31680        1.1034176        1.2970839       0.65901868E-02  -0.56998198E-01  -0.19195608
  299.44870        1.0868416        1.2824527       0.86222030E-02  -0.62291813E-01   0.23270166E-01
  299.58060        1.0869850        1.2845409       0.10654219E-01  -0.50859528E-01   0.66724303E-01
  299.71250        1.0734248        1.2729255       0.12686236E-01  -0.44689942E-01   0.12866956
  299.84440        1.0751958        1.2766412       0.14718252E-01  -0.16916498E-01  -0.29928272
  299.97630        1.0689623        1.2723525       0.16750268E-01  -0.12364072      -0.36801240
  300.10820        1.0425794        1.2479144       0.18782284E-01  -0.11399817       0.53608483
  300.24010        1.0388895        1.2461694       0.20814301E-01   0.17778456E-01   0.38015502
  300.37190        1.0472675        1.2564907       0.22844776E-01  -0.13751288E-01  -0.28002383
  300.50380        1.0352633        1.2464312       0.24876792E-01  -0.56063828E-01  -0.40907583
