*********************  Core Excitation Data  ********************
****************  A.P. Hitchcock & D.C. Mancini  ****************
*
* Formula: C6H4S3N2
* Name: 1,3,5,2,4-benzotrithiadiazepine
* Edge: N 1s
* Alpha Formula: C6H4N2S3
* Data Source: Hitchcock
* Filename:  bv-0nnkk.os
* Ref. Code: HD&91
* Write Date: 93/06/10
* Reference: J. El. Spec. 57 (91) 165.
* Source and Purity: Oakley, U. Guelph
* Acquisition Mode: EELS, 2 deg, 2500 eV CRE mode, 0.7 eV fwhm
*--------------------------------------------------------------
* No. of Spectra: 3    name1- 0bncs    name2- 0bncs-n.     name3- 0bnc.os
*   E (eV)        Raw data             Osc. Str. per atom (E-2)
*--------------------------------------------------------------
  4.278640E+02,  9.335609E+03,  9.187389E+03,  5.480452E-01,
  4.280030E+02,  9.412477E+03,  9.264818E+03,  5.764549E-01,
  4.281430E+02,  9.115655E+03,  8.969416E+03,  4.851207E-01,
  4.282830E+02,  9.276142E+03,  9.131161E+03,  5.406338E-01,
  4.284230E+02,  9.302820E+03,  9.158226E+03,  5.528804E-01,
  4.285630E+02,  9.242220E+03,  9.097230E+03,  5.368347E-01,
  4.287030E+02,  9.024193E+03,  8.878782E+03,  4.702069E-01,
  4.288420E+02,  9.306386E+03,  9.160504E+03,  5.642225E-01,
  4.289836E+02,  9.441604E+03,  9.075062E+03,  5.403526E-01,
  4.291220E+02,  9.316656E+03,  9.171587E+03,  5.748556E-01,
  4.292620E+02,  9.137311E+03,  8.993351E+03,  5.211308E-01,
  4.294020E+02,  9.076139E+03,  8.932766E+03,  5.051970E-01,
  4.295420E+02,  8.938388E+03,  8.795356E+03,  4.645805E-01,
  4.296810E+02,  9.149810E+03,  9.006246E+03,  5.358218E-01,
  4.298210E+02,  9.054263E+03,  8.910633E+03,  5.086253E-01,
  4.299610E+02,  9.037241E+03,  8.894671E+03,  5.070117E-01,
  4.301010E+02,  8.991144E+03,  8.849658E+03,  4.960633E-01,
  4.302410E+02,  9.024018E+03,  8.883920E+03,  5.105764E-01,
  4.303810E+02,  9.086209E+03,  8.946896E+03,  5.343108E-01,
  4.305200E+02,  9.159892E+03,  9.020704E+03,  5.614957E-01,
  4.306600E+02,  9.070189E+03,  8.930826E+03,  5.361214E-01,
  4.308000E+02,  9.065604E+03,  8.925843E+03,  5.380141E-01,
  4.309400E+02,  9.087250E+03,  8.947501E+03,  5.484623E-01,
  4.310800E+02,  8.902773E+03,  8.763335E+03,  4.927885E-01,
  4.312200E+02,  8.976502E+03,  8.836709E+03,  5.198430E-01,
  4.313590E+02,  9.039383E+03,  8.899088E+03,  5.433373E-01,
  4.314990E+02,  8.930009E+03,  8.790250E+03,  5.118514E-01,
  4.316390E+02,  8.999094E+03,  8.860050E+03,  5.377477E-01,
  4.317790E+02,  9.060935E+03,  8.922004E+03,  5.611195E-01,
  4.319190E+02,  8.964122E+03,  8.826133E+03,  5.337898E-01,
  4.320590E+02,  8.902303E+03,  8.766017E+03,  5.179417E-01,
  4.321980E+02,  8.910658E+03,  8.775188E+03,  5.243240E-01,
  4.323380E+02,  8.977848E+03,  8.841644E+03,  5.491294E-01,
  4.324780E+02,  8.950139E+03,  8.814270E+03,  5.437893E-01,
  4.326180E+02,  8.921089E+03,  8.784652E+03,  5.377262E-01,
  4.327580E+02,  8.854438E+03,  8.719187E+03,  5.201431E-01,
  4.328980E+02,  8.879880E+03,  8.747354E+03,  5.326356E-01,
  4.330370E+02,  8.868175E+03,  8.733182E+03,  5.314987E-01,
